"DEPTID","OrganisationID","UMDeptName"
"10012","PLXOYXDMHWW","University Librarian, Ofc of"
"10013","PLXOYXDMHWW","Library Facilities & Ops Mgmt"
"10014","IXRSFFCXQBF",
"10015","EWAMX","Health Science Libraries"
"10016","IXRSFFCXQBF","Library Collections Mgmt Ofc"
"10017","GRQAGRQA","Library Data & Technology"
"10018","IRBSFOQ","Minitex"
"10019","GGMQFNVJKKZIQ","Lib Research & Learning Ofc"
"10020","GGMQFNVJKKZIQ","Lib Ag, Bio & Environment Sci"
"10021","GGMQFNVJKKZIQ","Lib Arts & Humanities"
"10022","GGMQFNVJKKZIQ","Archives & Special Collections"
"10023","GGMQFNVJKKZIQ","Lib Physical Sci & Engineering"
"10024","GGMQFNVJKKZIQ","Lib Social Sci & Profnl Prog"
"10025","GGMQFNVJKKZIQ",
"10026","GGMQFNVJKKZIQ","Lib Access & Info Svcs"
"10027","PLXOYXDMHWW","Library Organizational Devel"
"10028","PLXOYXDMHWW","Lib Development Office"
"10029","PLXOYXDMHWW","Lib Communications Office"
"10031","EWAMX","Wangensteen Library"
"10033","GSYKETJXD","Global Prog & Strat Dean's Ofc"
"10034","GSYKETJXD","Confucius Institute"
"10035","GSYKETJXD","China Center"
"10036","GSYKETJXD","Adv Res Language Acquis, Ctr"
"10037","GSYKETJXD","Intl Student & Scholar Service"
"10038","GSYKETJXD","Learning Abroad Center"
"10039","GGMQFNVJKKZIQ","SMART Commons"
"10041","EVKNJMJMKY","University Budget & Finance"
"10043","EVKNJMJMKY","Investments & Banking, Ofc of"
"10047","CTQQGHAPAXX","MetNet"
"10048","CTQQGHAPAXX","VP & Chief Info Officer,Ofc of"
"10049","CTQQGHAPAXX","OIT Security"
"10050","CTQQGHAPAXX","OIT Finance, HR & PMO"
"10051","CTQQGHAPAXX","OIT Support Services Admin"
"10052","CTQQGHAPAXX","OIT Academic Technology"
"10053","CTQQGHAPAXX","OIT Provisioning & Requests"
"10054","CTQQGHAPAXX","OIT Onsite Support"
