"GLSGXMKPL","university","University of Minnesota"
"KLFLWPRR","college","Pharmacy, College of"
"GKYQFHCA","department","Pharmaceutical Care and Health Systems"
"AFUSWHQ","department","Medicinal Chemistry and Pharmacognosy"
"EMIXAQE","department","Duluth Pharmacy Program"
"TGOAWGHVDWH","department","Experimental and Clinical Pharmacology"
"RYCQQ","department","Professional Education"
"EFMRWWHKT","department","Pharmacy Research and Graduate Education"
"WRQNKVP","department","Pharmaceutics"
"QBJZBRPJTMPQ","department","Pharmacy Clinical Affairs"
"VIYZANEFQ","department","Therapeutics Discovery and Development Institute"
"CEKSZSRYQ","department","Administration (CoP)"
"AOSDXZAKBOASQ","department","Pharmacy Residency Program"
"IFBDNVXQBC","department","Center for Leading Healthcare Change"
"XFNCCFRHOUQ","college","Food, Agricultural & Natural Resource Sciences, College of"
"BLKZLWUWMFHFOA","department","Entomology"
"IKTNYTRWSA","department","Forest Resources"
"BLWZCGA","department","Agronomy and Plant Genetics"
"HXKKAKNMLP","department","Applied Economics"
"XLQHLYMGVE","department","Bell Museum of Natural History"
"WKQJSXVXXLS","department","Research and Outreach Centers (CFANS)"
"HLETYGZF","department","Plant Pathology"
"BIPTHQRCQ","department","Bioproducts and Biosystems Engineering"
"NMSBAGX","department","Animal Science"
"AJPAUKII","department","Horticultural Science"
"GZSFOYWMMDTBQ","department","Food Science and Nutrition"
"NFWLVHMGRA","department","Fisheries, Wildlife, and Conservation Biology"
"TRHOTGGZAQA","department","Administration (CFANS)"
"LBMLRSHGYH","department","Soil, Water, and Climate"
"BKNWGPPBO","department","Landscape Arboretum"
"MNNPOSCTA","department","Agricultural Education"
"ANFPFLZUQ","department","Water Resources Center"
"LIDFKPVEGG","college","Science & Engineering, College of"
"HCPXSHCIA","department","Mathematics"
"IHRBIHRB","department","Earth Sciences"
"HMHPGCBVTZRRE","department","Biomedical Engineering"
"YWGQGROEHP","department","Computer Science and Engineering"
"OOWZTA","department","History of Science and Technology"
"FFYAOYMNYX","department","Mechanical Engineering"
"OTQFKMQEJM","department","Chemical Engineering and Materials Science"
"CXEENAPIHECPQ","department","Civil, Environmental, and Geo Engineering"
"LGKNDITA","department","Electrical and Computer Engineering"
"RURKAVA","department","Chemistry"
"EOGBVRFLJD","department","Physics and Astronomy"
"SOTITWQGTZQ","department","Centers and Facilities"
"GCFMWBQ","department","Industrial and Systems Engineering"
"FUOWOFJKFTQ","department","Aerospace Engineering and Mechanics"
"MVAANYLJYF","department","Administration (CSENG)"
"EKTFYICQ","college","Medical School - Twin Cities Campus"
"WGLMQKYUA","department","Medicine - General Internal Medicine"
"RQKBIAOYLYFIA","department","Biochemistry, Molecular Biology, Biophysics"
"WSSKOZQ","department","Family Medicine and Community Health (TMED)"
"SKDPLVKBRNWDZMQ","department","Psychiatry"
"TGVXA","department","Medicine - Cardiology Division"
"QETNQMA","department","Pediatrics - Neonatology"
"ORFJNGKBIR","department","Medicine - Pulmonary, Allergy, Critical"
"YMNKRRB","department","Pediatrics - Blood/Marrow Transplant"
"FUZCMRWWJA","department","Orthopaedic Surgery"
"BDNYEHZD","department","Medicine - Gastro, Hepatology, Nutrition Division"
"SIBJLPMA","department","Pediatrics - Pediatric Cardiology"
"RSHZNEVIG","department","Neurology"
"JYOFBQ","department","Ophthalmology"
"YLZBUGXNDDSA","department","Medicine - Hematology, Oncology, Transplant"
"KIMELQDECI","department","Anesthesiology"
"WPZZYUA","department","Administration (TMED)"
"UGYBLAXO","department","Pediatrics - Administration"
"BOGXDLKXSGLXLA","department","Pediatrics - Genetics and Metabolism"
"YNLFYZLQA","department","Surgery"
"HEIFKJGUY","department","Obstetrics, Gynecology and Women's Health - Oncology"
"DBXNQ","department","Otolaryngology"
"HKBORVIBE","department","Neurosurgery"
"NWANTHJVJ","department","Laboratory Medicine and Pathology"
"EOWCYCHUA","department","Radiology"
"AOVMGGA","department","Integrative Biology and Physiology"
"EZWRA","department","Radiation Oncology"
"MIGYPNYBHKQXFA","department","Microbiology"
"CUSJJESDRVQ","department","Medicine - Infectious Disease and International"
"TUGPHKPZA","department","Medicine - Endocrine and Diabetes Division"
"DOLQQNOVD","department","Pediatrics - General Pediatrics"
"GSGMGHAIA","department","Pediatrics - Rheumatology Division"
"VFAQDTVQ","department","Emergency Medicine"
"TLLIXEDTW","department","Urologic Surgery"
"XWNEIECKH","department","Pediatrics - Neuropsychology"
"YGNLELGZYJXCQ","department","Genetics, Cell Biology and Development (TMED)"
"CHLQIRLFIQQ","department","Physical Medicine and Rehabilitation"
"KUWGXVOIJTQ","department","Medicine - Rheumatic and Autoimmune"
"CRWXKUCQ","department","Medicine - Veteran's Administration Medical Center"
"ETEWROBM","department","Pharmacology"
"EHQICO","department","Dermatology"
"QVAJDENA","department","Neuroscience"
"AOPMIXGQ","department","Obstetrics, Gynecology and Women's Health"
"BJNJRKAA","department","Pediatrics - Nephrology"
"ATZNRSYIQ","department","Pediatrics - Autism"
"FARWORDZ","department","Medicine - Renal and Hypertension Division"
"JTFGZUING","department","Pediatrics - Pediatric Critical Care"
"OHMTLCIQ","department","Pediatrics - Gastro, Hepatology, Nutrition"
"USFAQ","department","Obstetrics, Gynecology and Women's Health - Administration"
"SIHCVEWOL","department","Pediatrics - Emergency Medicine"
"QTXTVOIVWW","department","Institute for Engineering in Medicine"
"BIRDLINOSQ","department","Obstetrics, Gynecology and Women's Health - Fetal Medicine"
"CYAPSRFAQ","department","Pediatrics - Pediatric Epidemiology"
"MZKQZTJKA","department","Pediatrics - Hematology"
"JIUDRHGSHPHA","department","Pediatrics - International Adoption"
"ZPPBMYEFTQ","department","Pediatrics - Global Pediatrics"
"ECUTJ","department","Pediatrics - Pulmonary, Allergy"
"IWQPEXLNQ","department","Medicine - Administration"
"DWZQRROU","department","Pediatrics - Endocrine and Diabetes"
"VBBPYJNYE","department","Obstetrics, Gynecology and Women's Health - Reproductive Endocrinology and Infertility"
"HAOCXXUJI","department","Pediatrics - Adolescent Health and Medicine"
"GGEYOCQ","department","Pediatrics - Infectious Disease"
"OWFEEYDQ","department","Pediatrics - Hospitalists"
"TZVJNEOA","college","Biological Sciences, College of"
"MWCELLHO","department","Ecology, Evolution and Behavior"
"PQXWQORJA","department","Biochemistry, Molecular Biology, and Biophysics"
"FJUSTIWTXRFFIMZ","department","Biotechnology Institute"
"RFCSTWA","department","Plant Biology"
"NZAKEGWA","department","Administration (CBS)"
"MBJKFPNZNQ","department","Genetics, Cell Biology and Development (CBS)"
"WAPFGIRLHQ","department","Biology Program"
"ADXTQLJKVNQ","college","Medical School - Duluth Campus"
"LNYGCOPDREUQ","department","Behavioral Health and Population Sciences"
"NFLIHMPFL","department","Administration (DMED)"
"FOATFCFSFZQ","department","Biomedical Sciences"
"QWTDIYIJ","department","Family Medicine and Community Health (DMED)"
"KTRGRDZVOQ","department","Animal Services"
"OQWTELAJ","department","American Indian and Minority Health"
"LQHCXSBJ","college","Public Health, School of"
"WZOMQIGWBUIAHA","department","Environmental Health Sciences"
"YWWOKSM","department","Administration (SPH)"
"AUNLTGA","department","Epidemiology"
"PIXEZPPAPIRGQ","department","Health Policy and Management"
"JWAEAVRQKYQ","department","Public Health Practice"
"TELNBGA","department","Biostatistics"
"CJMMPFFWUTQ","college","Liberal Arts, College of"
"GIHCYTU","department","Economics"
"HDGNJKR","department","Sociology"
"CWWPWFJA","department","Anthropology"
"SWXNGXZO","department","Geography"
"CBIHJRCYWWAA","department","Psychology"
"GVYAMSNA","department","Philosophy"
"CJOGRFQ","department","Political Science"
"KORYSQOANBQ","department","Statistics"
"IWWMXCPKTA","department","Journalism and Mass Communication"
"VMVLDDKZBA","department","Theatre Arts and Dance"
"IBKEOYUC","department","Communication Studies"
"HBBQGIFMSWBDJA","department","Administration (CLA)"
"GCVMRBVURQ","department","Speech-Language-Hearing Sciences"
"FFHMBZVUXKEG","department","History"
"OUVRQTX","department","French and Italian"
"TNGLXWMO","department","Asian Languages and Literature"
"HOEYVJK","department","Art"
"YCNLNLPHHTA","department","American Studies"
"GXEWTPNHDAQ","department","Music"
"NQMQTQBKRZLE","department","Linguistics"
"XLNMOIUW","department","Spanish and Portuguese"
"JQGXAEFTH","department","English, Language and Literature"
"YXGGRREFMMUA","department","Writing Studies"
"FGRSWUISFXYQ","department","Classical and Near Eastern Studies"
"WFLVWFVDWXDVA","department","Art History"
"KBPTQSAEA","department","Gender, Women and Sexuality"
"PEERXTGEUIQTQ","department","African-American and African Studies"
"KGAXVRQ","department","German, Scandinavian, and Dutch"
"XJSTZJ","department","Cultural Studies and Comparative Literature"
"LNMQGWF","department","American Indian Studies"
"OQLZFPSVET","department","Chicano Studies"
"BIDEQ","department","Global Studies"
"LLWJGNQ","college","Education & Human Development, College of"
"ZXGEOSMA","department","Organizational Leadership, Policy and Development"
"RQHKJLUF","department","Family Social Science"
"EQVRBLUQ","department","Curriculum and Instruction"
"OZBKPOEAJF","department","Social Work"
"WDQMICGM","department","Research and Outreach Centers (CEHD)"
"XFONYPYD","department","Educational Psychology"
"LBZUCPBF","department","Institute of Child Development"
"CJVSLEDWOAAA","department","Postsecondary Teaching and Learning"
"ESMOCHKO","department","Administration (CEHD)"
"BAABQABKMA","department","Kinesiology"
"ZWLCEAOWFEA","department","Institute on Community Integration"
"PXXEFIABV","college","Veterinary Medicine, College of"
"QIFCNWP","department","Administration (CVM)"
"NDDZGA","department","Veterinary Population Medicine"
"PYSSKDNSEQHA","department","Veterinary and Biomedical Sciences"
"DQOCEOMZRYIA","department","Veterinary Clinical Sciences"
"KJBYELSA","department","Raptor Center"
"DMPRMUHJDWL","college","Carlson School of Management"
"YDNGVA","department","Marketing"
"QBHDWGXML","department","Finance"
"GTEMOCNA","department","Strategic Management and Entrepreneurship"
"TKDVWHQ","department","Information and Decision Sciences"
"FCTOXRAZYYJJA","department","Centers and Institutes"
"UIGYZIYJVEYXZT","department","Executive Education"
"WWASOPJEWHQ","department","Work and Organizations"
"PLUBLFCVJGI","department","Business Administration Program"
"IGEVIXBI","department","Accounting"
"OLQLRYFKZA","department","Supply Chain and Operations"
"EHJBGPERGNA","department","Administration (CSOM)"
"PEFRYQSXUP","college","Academic Health Center"
"SIMTNXVA","department","Masonic Cancer Center"
"JTQYZRMWA","department","Center for Spirituality and Healing"
"JQGMBDOEYA","department","Administration (AHC)"
"UVSJWSAR","department","Center for Drug Design"
"JKFIJBTT","department","Allied-Occupational Therapy"
"OACSLZDLA","department","Center for Bioethics"
"LVBFEHGNPISPVA","department","Center for Infectious Disease"
"SIOEDQJPM","department","Allied-Medical Technology"
"NWMCVEHYGN","department","BioMedical Health Informatics"
"FBVZSLBILGI","department","Center for Translational Medicine"
"ZXYVOXDQ","department","National Center for Food Protection and Defense"
"LNWXVEYNQ","department","Genomics"
"YWHDPZOIBFA","department","Molecular and Cellular Therapeutics"
"AYDKPQ","college","Humphrey School of Public Affairs"
"VFCQNAX","department","Academic Programs"
"QASSVEKAFRN","department","Administration (HHH)"
"FVZAEMR","department","Research and Outreach Centers (HHH)"
"KJTMZNYBTP","department","Women and Public Policy"
"YZLIRNEIGKR","college","Law School"
"PMMJCZLY","department","Law School Academics"
"NGEJGHHFOVYKQ","department","Law School Institutes"
"HDIJMJSXNBPGXF","department","Law Library"
"JLEBTF","department","Law Administration"
"WLZJEBPZX","college","Dentistry, School of"
"SFAUDR","department","Clinical Systems Dentistry"
"RJJZUXUORH","department","Developmental and Surgical Sciences"
"HREIX","department","Diagnostic and Biological Sciences"
"XMLLBQGHSA","department","Restorative Sciences"
"EVFPEFVGVQ","department","Administration (DENT)"
"NZDHJHNWC","department","Primary Dental Care"
"MEYXRZM","college","Nursing, School of"
"HEABA","department","Nursing Academics"
"KEIJOTQ","department","Administration (SoN)"
"PIEORQNNX","college","Continuing Education, College of"
"KPBOGPUJXQ","department","Professional and Graduate Programs"
"YZBVCIGRQ","department","College in the Schools"
"ZZGBZWTLKBRH","department","Administration (CCE)"
"EJZQHIS","college","Research, Office of the Vice President"
"LHESJVSSCMVNQ","department","Hormel Institute"
"GCQCSMZBQ","department","Center for Transportation Studies"
"GBHAMJRQFCLB","department","Supercomputer Institute"
"VOYAHFEUA","department","Administration (OVPR)"
"XAJTWOFCA","department","Minnesota Population Center"
"CCJBJYTIQ","department","Institute on the Environment"
"GGSPRJQAKGVXYX","department","Office of the Vice President for Research"
"GYPLOZBSWCXA","department","Informatics Institute"
"IBWZUEDOJVGIQGELQ","department","Law School Institutes (OVPR)"
"KLIXTAAXSSA","department","Center for Cognitive Sciences"
"DOSNCACFESQ","college","Central Administration & Centers"
"BVHJTZUHHWSA","department","Graduate School"
"UXFTBZXLZ","department","Academic Affairs/Provost"
"PHGANTZAJHQ","department","Institute for Advanced Study"
"GSYKETJXD","department","Global Programs and Strategy Alliance"
"CTQQGHAPAXX","department","Information Technology"
"PGHAGJG","department","System Academic Administration"
"MZQTJWDSIA","department","Office of the President"
"QRRZWIZ","department","University Honors Program"
"YSWSODBVJQA","college","Extension"
"BNYHQ","department","Extension, U of MN"
"LKTQDNVXHPZC","college","University Libraries"
"GGMQFNVJKKZIQ","department","Research and Learning"
"IRBSFOQ","department","Minitex"
"EWAMX","department","Health Sciences"
"GRQAGRQA","department","Data and Technology"
"PLXOYXDMHWW","department","Administration (LIB)"
"IXRSFFCXQBF","department","Content and Collections"
"OWVQDRYLQ","college","Design, College of"
"DBOCH","department","Design, Housing, and Apparel"
"GIUBTPAGWFO","department","Administration (CDes)"
"TXOIVOFZPSSUUOA","department","Landscape Architecture"
"YHPLWXA","department","Architecture"
"ZODVDLXZLHA","department","Research and Outreach Centers (CDes)"
"ZNVNNMA","college","Minnesota Agriculture Experiment Station"
"NNIWQIQRQ","department","Minnesota Agriculture Experiment Station"
