1,628689,"USFAQ","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
2,1102,"YLZBUGXNDDSA","Regents Professor","Academic","academic",,2004-06-14,,,,,,,"Yes","Update"
3,640871,"WSSKOZQ","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
4,642677,"BNYHQ","Extension Professor","Academic","academic",,1986-07-01,,,,,,,"Yes","Update"
5,2706,"AUNLTGA","Associate Professor","Academic","academic",,2007-02-20,,,,,,,"Yes","Update"
6,651361,"UGYBLAXO","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
7,337,"CBIHJRCYWWAA","Professor","Academic","academic",,1989-09-16,,,,,,,"Yes","Update"
8,4595,"PEERXTGEUIQTQ","Professor","Academic","academic",,2007-07-31,,,,,,,"Yes","Update"
9,389064,"FARWORDZ","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
10,403248,"YNLFYZLQA","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
11,5226,"HREIX","Researcher 7","Academic","academic",,2008-10-06,,,,,,,"Yes","Update"
12,444222,"EOWCYCHUA","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
13,448794,"DOLQQNOVD","Associate Professor","Academic","academic",,1975-07-01,,,,,,,"Yes","Update"
14,448794,"AUNLTGA","Adjunct Associate Professor","Academic","academic",,2015-11-16,,,,,,,,"Update"
15,2157,"CHLQIRLFIQQ","Professor","Academic","academic",,2007-07-23,,,,,,,"Yes","Update"
16,460768,"GCQCSMZBQ","Research Associate","Academic","academic",,2016-03-03,,,,,,,,"Update"
17,461313,"CEKSZSRYQ","Departmental Director","Academic","nonacademic",,1986-07-01,,,,,,,"Yes","Update"
18,471925,"JYOFBQ","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
19,485581,"GCQCSMZBQ","Senior Research Associate","Academic","academic",,2016-03-03,,,,,,,,"Update"
20,525345,"BNYHQ","Extension Professor","Academic","academic",,1987-07-01,,,,,,,"Yes","Update"
21,699,"IKTNYTRWSA","Professor","Academic","academic",,2016-09-26,,,,,,,"Yes","Update"
22,549330,"WGLMQKYUA","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
23,2934,"RSHZNEVIG","Professor","Academic","academic",,2010-03-01,,,,,,,"Yes","Update"
24,2934,"RSHZNEVIG","Head (With Faculty Rank)","Academic","academic",,2010-06-30,,,,,,,,"Update"
25,4119,"ZWLCEAOWFEA","Researcher 6","Academic","academic",,2007-06-11,,,,,,,"Yes","Update"
26,557623,"YNLFYZLQA","Adjunct Assistant Professor","Academic","nonacademic",,2016-07-26,,,,,,,,"Update"
27,558371,"WSSKOZQ","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
28,558782,"WZOMQIGWBUIAHA","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
29,559325,"WGLMQKYUA","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
30,603690,"USFAQ","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
31,85,"EOWCYCHUA","Associate Professor","Academic","academic",,1993-07-01,,,,,,,"Yes","Update"
32,619106,"BLKZLWUWMFHFOA","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
33,624181,"CBIHJRCYWWAA","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
34,654977,"WSSKOZQ","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
35,883,"SOTITWQGTZQ","Professor","Academic","academic",,1985-09-16,,,,,,,"Yes","Update"
36,655535,"JYOFBQ","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
37,5184,"MWCELLHO","Researcher 6","Academic","academic",,2015-04-06,,,,,,,"Yes","Update"
38,797,"YNLFYZLQA","Professor","Academic","academic",,1986-07-01,,,,,,,"Yes","Update"
39,665987,"JYOFBQ","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
40,6439,"NGEJGHHFOVYKQ","Researcher 6","Academic","academic",,2007-05-08,,,,,,,"Yes","Update"
41,672466,"CBIHJRCYWWAA","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
42,2005,"HXKKAKNMLP","Associate Professor","Academic","academic",,1982-07-01,,,,,,,"Yes","Update"
43,1555,"DBOCH","Professor","Academic","academic",,2005-06-13,,,,,,,"Yes","Update"
44,4031,"GRQAGRQA","Librarian","Academic","nonacademic",,1983-07-01,,,,,,,"Yes","Update"
45,684675,"CBIHJRCYWWAA","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
46,686110,"QWTDIYIJ","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
47,686281,"JYOFBQ","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
48,687733,"RSHZNEVIG","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
49,6007,"XAJTWOFCA","Researcher 6","Academic","academic",,2007-07-31,,,,,,,"Yes","Update"
50,689196,"IKTNYTRWSA","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
51,691364,"SKDPLVKBRNWDZMQ","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
52,2193,"YLZBUGXNDDSA","Professor","Academic","academic",,1989-07-01,,,,,,,"Yes","Update"
53,692332,"RSHZNEVIG","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
54,693788,"WSSKOZQ","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
55,694382,"CBIHJRCYWWAA","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
56,1543,"HLETYGZF","Associate Professor","Academic","academic",,2004-06-14,,,,,,,"Yes","Update"
57,697686,"NZDHJHNWC","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
58,2703,"BDNYEHZD","Professor","Academic","nonacademic",,1989-04-01,,,,,,,,"Update"
59,2703,"WPZZYUA","Associate Dean","Academic","nonacademic",,2015-12-01,,,,,,,"Yes","Update"
60,702470,"UGYBLAXO","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
61,703275,"XLNMOIUW","Senior Lecturer","Academic","academic",,2005-08-29,,,,,,,"Yes","Update"
62,703893,"BAABQABKMA","Senior Lecturer","Academic","academic",,2007-07-31,,,,,,,"Yes","Update"
63,1974,"TRHOTGGZAQA","Professor","Academic","nonacademic",,1999-09-21,,,,,,,"Yes","Update"
64,1974,"YLZBUGXNDDSA","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
65,1974,"MIGYPNYBHKQXFA","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
66,707501,"JTQYZRMWA","Lecturer","Academic","academic",,2015-06-18,,,,,,,"Yes","Update"
67,3502,"IKTNYTRWSA","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
68,1145,"DBXNQ","Professor","Academic","academic",,2007-07-01,,,,,,,"Yes","Update"
69,648,"IWWMXCPKTA","Associate Professor","Academic","academic",,1994-04-03,,,,,,,"Yes","Update"
70,712570,"FUZCMRWWJA","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
71,604,"XMLLBQGHSA","Professor","Academic","academic",,1999-06-21,,,,,,,"Yes","Update"
72,1812,"WPZZYUA","Assistant Professor","Academic","academic",,1991-07-01,,,,,,,"Yes","Update"
73,716499,"JYOFBQ","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
74,716533,"DOLQQNOVD","Program Director","Academic","nonacademic",,2013-01-01,,,,,,,"Yes","Update"
75,2245,"TGVXA","Professor","Academic","academic",,2006-07-14,,,,,,,"Yes","Update"
76,2359,"YHPLWXA","Professor","Academic","academic",,1994-09-16,,,,,,,"Yes","Update"
77,719173,"WSSKOZQ","Adjunct Assistant Professor","Academic","nonacademic",,2016-07-26,,,,,,,,"Update"
78,707,"QWTDIYIJ","Professor","Academic","nonacademic",,1999-06-21,,,,,,,"Yes","Update"
79,707,"LNYGCOPDREUQ","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
80,722198,"GZSFOYWMMDTBQ","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
81,723218,"IKTNYTRWSA","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
82,723737,"IGEVIXBI","Senior Lecturer","Academic","academic",,2002-07-01,,,,,,,"Yes","Update"
83,724529,"RSHZNEVIG","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
84,5671,"CAREI","Research Associate","Academic","academic",,2016-03-03,,,,,,,,"Update"
85,726455,"NZDHJHNWC","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
86,726640,"RJJZUXUORH","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
87,727733,"WSSKOZQ","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
88,682,"QVAJDENA","Professor","Academic","academic",,1991-07-01,,,,,,,"Yes","Update"
89,682,"QVAJDENA","Head (With Faculty Rank)","Academic","academic",,1998-10-01,,,,,,,,"Update"
90,729551,"TGVXA","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
91,729951,"NZDHJHNWC","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
92,730306,"IHRBIHRB","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
93,734253,"UGYBLAXO","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
94,6882,"FVZAEMR","Researcher 7","Academic","academic",,2010-08-16,,,,,,,"Yes","Update"
95,738261,"SKDPLVKBRNWDZMQ","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
96,318,"SIBJLPMA","Professor","Academic","academic",,2007-01-30,,,,,,,"Yes","Update"
97,743526,"AUNLTGA","Adjunct Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
98,744879,"CBIHJRCYWWAA","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
99,2983,"YNLFYZLQA","Professor","Academic","academic",,1999-06-21,,,,,,,"Yes","Update"
100,5989,"WSSKOZQ","Assistant Professor","Academic","academic",,2007-01-30,,,,,,,"Yes","Update"
101,747052,"UGYBLAXO","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
102,747640,"PMMJCZLY","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
103,749649,"EVFPEFVGVQ","Director Campus/College Level","Academic","nonacademic",,2001-02-12,,,,,,,"Yes","Update"
104,6207,"FFYAOYMNYX","Researcher 5","Academic","academic",,2015-09-07,,,,,,,"Yes","Update"
105,750426,"QWTDIYIJ","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
106,2491,"OTQFKMQEJM","Professor","Academic","academic",,2009-06-08,,,,,,,"Yes","Update"
107,751079,"WGLMQKYUA","Adjunct Associate Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
108,751682,"AUNLTGA","Admin Consultant/Analyst 1","Academic","nonacademic",,2012-09-11,,,,,,,"Yes","Update"
109,392,"CHLQIRLFIQQ","Professor","Academic","academic",,2005-06-13,,,,,,,"Yes","Update"
110,2253,"FFYAOYMNYX","Professor","Academic","academic",,1992-09-16,,,,,,,"Yes","Update"
111,754577,"ORFJNGKBIR","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
112,757181,"USFAQ","Adjunct Assistant Professor","Academic","nonacademic",,2015-11-16,,,,,,,,"Update"
113,2003,"TELNBGA","Professor","Academic","academic",,1995-07-01,,,,,,,"Yes","Update"
114,2003,"CUSJJESDRVQ","Adjunct Professor","Academic","academic",,2015-07-20,,,,,,,,"Update"
115,5448,"WSSKOZQ","Assistant Professor","Academic","academic",,2007-01-30,,,,,,,"Yes","Update"
116,1585,"PYSSKDNSEQHA","Professor","Academic","academic",,1988-07-01,,,,,,,"Yes","Update"
